nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
527.0554457164949,525.9620535714288,518.2267060052783,510.6724134172714,527.6580814179922,501.13187481108184,538.1745307559061,506.2577830723356,544.138622465588,,542.0329491751537,503.343941824777,529.5230752854122,494.7716547648114,557.5051218668623,474.2113093421575,576.0704156784786,757.1026284354077,751.7221005757652,754.3771740141372,755.4122405279254,754.6170607067293,780.5057834443596,783.0795357113795,803.4658911568781,818.1877644856775,,826.1128460112076,838.5042739141559,838.0659274146674,868.9833795456664,869.9162742978054,899.9805922735309,919.6054171607611
521.647423153832,525.0935080392022,517.2637910388767,511.67313312348887,529.2335219610306,502.6827850341799,540.0448710123701,508.9216610136489,545.8690294538228,,543.7740627470473,504.57146926153297,530.7872347150533,496.76752762567446,558.2950475783578,476.26571491786433,580.5755375453407,757.122128077916,751.7388585408532,754.3006735302156,756.3354259672622,755.6224608648395,781.5376448858356,784.1948358444944,803.6225273495631,817.1641431535996,,826.5800628662113,838.9292442685086,838.4549487885979,868.920559837705,871.059964861189,900.3749760219033,919.3112742106124
519.8028698875793,526.1728679112027,517.843465169271,512.7550245012558,530.5396030970984,504.0187908354262,541.6322137741818,507.70443507603255,547.2633874075757,,544.6263525826593,506.0579318091985,531.8180400303434,497.8531319754467,559.0246255057201,476.4286964053201,584.2993018740701,757.4142761230471,751.8739233471101,754.2921734764466,757.3338633946014,756.4056247529533,782.6190101986842,785.2756293160578,805.302387782506,818.5796952020557,,827.4021461123516,839.9399232410253,838.8664783296134,869.7776322137745,871.6301407586965,900.9808102562317,919.6902887253538
523.3128117152626,527.9863466535298,518.4683768862772,514.1150585356215,532.0028523036415,505.1615818568641,542.938180832636,511.31812104724725,548.364222208659,518.2170257568362,546.1024594988144,507.1889866420203,532.4049490065804,499.14331054687517,560.0830521356495,476.9421768188479,587.6417120070687,758.0587336222334,752.9186802818665,754.3091735839848,758.7336930774511,757.3459229242237,783.9257645379932,786.7893189929783,806.3121265229728,820.2244611467636,823.7031606038415,829.834155128116,840.8867899576826,840.1398845854262,870.1782938639327,871.7259114583337,901.7802211216522,919.702514648438
523.4226190476193,529.872499738421,518.953205290295,516.1871915544784,533.862271990095,506.35866837274483,543.8656329200384,510.9380493164065,549.1263253348217,511.96718488420777,545.6370250156949,508.29291861397905,533.4565077282136,500.0372706821989,561.0771651495072,476.72157778058755,590.1921590169273,757.9858609154114,754.4453677222846,754.3091735839848,760.726835341681,759.0980082920622,785.5688796270465,788.2483840215777,808.5039222353984,820.282269069127,840.1639367966429,833.7707090831941,842.2141636439735,842.077290126256,870.9301539829803,871.5621766589941,902.779162452335,919.7498274303622
522.3993297758559,531.1698826381141,519.1126294817245,518.8841400146487,536.2967656453453,508.4160290672668,545.3755816505071,512.5235933576314,550.3787514822826,504.8027895972844,548.0151810418994,509.49529774983745,535.0652959914437,501.5815524146672,562.6529388427737,476.17942937215184,591.4965587797622,755.8051249186201,756.0262240455268,754.3091735839848,763.018000284831,761.8796895345056,787.2516039893744,790.6808885846822,811.8001483735587,823.4508863176621,849.6119210379468,838.7529166085383,843.9682406470893,844.7607218424482,871.36049761091,870.8791402180993,903.867330641974,919.4251926967079
524.0805130004885,531.4349434262233,515.8389950706846,522.9988152640209,540.1582481747585,512.0960199265255,548.1655248006188,513.3664281935921,551.727607000442,508.3410771687828,551.6546205793111,511.54366411481607,537.7597129458475,502.97797502790195,566.7757190522696,476.196246192569,593.1040336972194,758.4329833984377,755.3754414149696,753.259177798317,765.4804894583569,765.1113902500701,789.1167635236471,793.5323235648023,816.3363861810597,825.4726656959174,845.8845781598776,844.2165817987354,846.2482161748981,847.767472040086,872.810712541853,871.1937321254188,904.4677807035904,919.2537431262792
,532.1378340948198,,526.0480488368445,543.3695402599519,515.4823172433038,549.9441887991771,517.6232198079429,552.067683991932,514.3060259137837,555.3217802501863,513.1257335117887,539.8974671136768,503.680984860375,570.4982793898812,475.9494855971565,593.387161981492,,757.481594993955,,766.9780785696851,766.9543624151324,790.3095281691782,795.4251004173645,819.0203831990564,824.7185240246004,848.6379445393884,847.3711962018698,848.2026686895465,849.5821424211779,874.3154776436945,871.3972785586406,904.7837219238286,919.0889434814458
532.0110168457034,533.6560465494795,,529.0389851161414,546.2340374901183,518.8320519583568,551.3712121872677,519.2138882591613,551.7861589704244,517.4454283941362,556.7053160894487,514.9000658307758,541.75374239967,504.55334617978076,574.7370387486051,475.4737301781066,593.7459847586497,769.1299743652346,760.690099080404,,768.4648270379932,767.7571509225031,791.0719528198246,796.729911440895,820.9676619030183,826.0838085356216,849.7676958356587,848.2721099853519,849.7901487804598,850.598534720285,875.4934983026417,872.3394470214848,904.9716847737634,919.2967939830966
533.470147995722,533.4647452944803,540.9248860677085,531.9822863624212,549.0865852719264,522.2342565627328,553.633732386998,524.1155526297435,553.2234144664949,516.4088261922202,559.5930015927272,517.7054239908856,543.8237395513627,505.3740346999398,579.0610467819943,476.82370885213237,594.5390276227681,774.7488112676715,765.1228701273603,761.6591440836592,769.9856505621051,768.8053083873933,791.7676991053993,798.171403067453,821.1814153762094,828.2458517892023,852.7099217006141,847.5148402622772,850.1555829729357,851.3357340494796,876.0138273693269,872.4813741048181,905.1735505603613,919.2389817010792
