nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
517.6697158813477,,,510.07828521728516,527.3050079345703,500.7349853515625,537.5242385864258,499.85904693603516,543.6557769775391,,538.9841232299805,503.07080841064453,529.6408309936523,493.43553161621094,557.9627075195312,473.872989654541,576.0653686523438,755.7648773193359,,,755.7648773193359,754.3031921386719,780.3210525512695,782.6597290039062,803.4155426025391,814.8166198730469,,779.1517028808594,838.4958038330078,838.4958038330078,869.7756805419922,871.5296936035156,899.88623046875,919.7650299072266
521.6272583007812,524.7886505126953,517.0288619995117,512.4304656982422,529.0996322631836,503.2336959838867,540.3082122802734,513.0052719116211,545.4813995361328,,544.6192092895508,504.38329315185547,530.8240356445312,498.347900390625,557.5521850585938,475.6433448791504,580.2567443847656,756.1743698120117,752.151496887207,752.726188659668,756.1743698120117,755.3123245239258,781.4610443115234,784.3345260620117,803.8742218017578,819.3910369873047,,823.7012634277344,839.2180786132812,838.3560333251953,867.3782501220703,869.6770324707031,900.7106628417969,918.8136138916016
521.9066772460938,526.5785522460938,517.5268020629883,513.4389038085938,531.5424118041992,504.3871612548828,543.2220916748047,503.8031768798828,548.4779357910156,,545.8500213623047,506.7230987548828,532.4183883666992,497.9633331298828,560.4496154785156,478.10788345336914,586.4369049072266,759.2830200195312,750.5141258239746,757.2369384765625,758.1138305664062,757.821533203125,783.5436248779297,786.1742935180664,807.2196426391602,816.8654174804688,,829.4341735839844,840.2491302490234,839.6645355224609,870.6479797363281,872.6940460205078,900.4622192382812,920.0460662841797
523.4704742431641,527.0670776367188,518.9747314453125,512.6806793212891,531.2630996704102,504.5883331298828,541.4534683227539,516.2772750854492,548.0472259521484,,546.5486450195312,506.9860610961914,531.8625335693359,498.2942810058594,558.2375946044922,477.01441192626953,585.2120971679688,757.6101379394531,753.7089996337891,754.3091735839844,757.6101379394531,756.7098770141602,783.1176147460938,785.8184051513672,803.5235824584961,820.6286010742188,,828.1307983398438,839.834228515625,838.9339599609375,870.1431121826172,870.4431915283203,901.9524230957031,919.3575286865234
,530.3749923706055,,516.2946090698242,533.8232498168945,506.52455139160156,543.8806686401367,505.66248321533203,548.7656936645508,,544.4553680419922,508.2486801147461,533.5358963012695,499.62803649902344,562.2713775634766,474.05345916748047,590.4321441650391,,753.9083404541016,,760.8125228881836,758.2234573364258,785.2648315429688,788.1415710449219,809.7171401977539,821.2241058349609,,834.4571228027344,843.0873565673828,841.6489868164062,871.5671081542969,873.0054626464844,902.923583984375,920.4717102050781
,531.7338180541992,,519.3490600585938,536.1569595336914,508.4386672973633,545.8878402709961,516.9900512695312,550.0160980224609,,547.9519805908203,509.3232879638672,534.6825790405273,502.24627685546875,563.2854919433594,478.65624618530273,593.0679016113281,,756.642993927002,,763.4285583496094,761.6584091186523,787.6205596923828,791.1608657836914,811.222526550293,822.7284851074219,,838.6598052978516,843.6752319335938,846.0354309082031,870.5224609375,870.8174896240234,903.5652160644531,918.9064788818359
,,,522.9658050537109,540.0677642822266,511.37125396728516,547.3143615722656,511.6611099243164,551.6623153686523,506.15370178222656,549.6332626342773,511.37125396728516,537.7488479614258,503.25506591796875,564.4163208007812,475.71800994873047,592.5331115722656,,,,765.3502807617188,765.6402587890625,789.4178466796875,792.6075210571289,816.0951385498047,822.474494934082,843.6423492431641,842.4824676513672,845.9621276855469,846.83203125,872.3494567871094,869.7397155761719,904.8261566162109,916.7149505615234
,,,525.3314361572266,543.4033279418945,515.5548400878906,550.5135879516602,514.9623107910156,553.7724609375,508.444580078125,558.5126190185547,513.4810180664062,540.1444625854492,503.4081573486328,570.95556640625,,,,,,767.3499450683594,768.2382354736328,790.1493606567383,796.6634750366211,820.0550842285156,831.0106353759766,850.2568969726562,850.5529937744141,848.1842193603516,850.2568969726562,874.8328857421875,871.8719177246094,,
,,,530.7987518310547,547.563591003418,520.6820449829102,552.4774169921875,522.9944305419922,530.2206497192383,532.8220901489258,557.6802978515625,515.7682037353516,542.6497573852539,504.49530029296875,577.0465850830078,,594.1004638671875,,,,768.1256561279297,767.2594757080078,790.9349899291992,796.7095031738281,820.9624786376953,825.0046310424805,850.7012329101562,847.8139801025391,850.123779296875,850.7012329101562,876.1091003417969,872.6443939208984,,919.1292419433594
,,,530.8936080932617,548.0735931396484,520.9932632446289,552.1501998901367,523.0315704345703,551.5678329467773,511.96649169921875,557.3915557861328,516.043098449707,542.5410537719727,504.97801971435547,577.7745971679688,,594.6633911132812,,,,769.3134841918945,767.275764465332,791.7283248901367,796.9681549072266,821.1296081542969,821.1296081542969,850.5309143066406,847.3287811279297,850.8220062255859,850.8220062255859,876.1478576660156,872.6546325683594,,919.5220336914062
